Reporter Identifier	VALUE
(-)3xSLv1	2.36
A_23_P5757	6.48
A_24_P926284	1.94
A_23_P164289	8.42
A_24_P246406	5.12
A_24_P832270	2.66
A_23_P123563	14.28
A_24_P22821	3.56
A_23_P155463	4.62
A_23_P66753	2.54
A_23_P301053	3.72
A_24_P417904	2.61
A_24_P943657	2.31
A_24_P69095	6.95
A_24_P268786	6.23
A_23_P356585	2.93
A_23_P25141	8.08
A_23_P137391	11.97
A_23_P163455	5.20
A_24_P141629	8.33
A_23_P161583	1.98
A_32_P127583	7.84
A_23_P201764	5.35
A_23_P396062	7.34
A_32_P94798	13.94
A_24_P61150	4.47
A_23_P203920	6.30
A_23_P256244	3.52
A_23_P103511	2.84
A_23_P155057	14.13
A_32_P138666	5.46
A_24_P734060	11.41
A_24_P9321	4.69
A_23_P123596	4.03
A_24_P522678	8.40
A_24_P16815	6.40
A_24_P287526	5.76
A_23_P397285	2.46
A_23_P23526	10.43
A_24_P174550	10.61
A_24_P792389	5.70
A_32_P1223	5.28
A_23_P145153	7.22
A_24_P246351	4.25
A_23_P215751	6.45
A_24_P216501	6.15
A_23_P90369	10.37
A_32_P38745	5.30
A_23_P503072	4.15
A_32_P147830	1.80
A_23_P53217	9.31
A_32_P200357	2.59
A_23_P123866	10.34
A_23_P157147	10.37
A_24_P715518	3.58
A_24_P324712	3.20
A_24_P639665	2.48
A_32_P220183	5.72
A_23_P106174	7.09
A_23_P102083	2.61
A_23_P112187	5.48
A_24_P410498	1.87
A_23_P117302	6.15
A_24_P244916	15.00
A_23_P150768	2.59
A_23_P333650	3.35
A_23_P123228	3.15
A_23_P37068	4.33
A_24_P67063	4.98
A_24_P84873	8.54
A_24_P297098	8.93
A_23_P349882	6.34
A_32_P219148	9.26
A_23_P89649	2.52
A_24_P302685	2.58
A_23_P165148	9.53
A_24_P107142	9.98
A_23_P136392	2.78
A_24_P291074	2.60
A_23_P137503	3.93
A_23_P324278	7.30
A_32_P79966	3.97
A_24_P412617	5.65
A_23_P91764	7.61
A_23_P150064	4.46
A_24_P19228	6.41
A_23_P77697	3.26
A_24_P162073	8.85
A_24_P914972	2.61
A_24_P112747	7.73
A_24_P97836	5.19
A_24_P60680	3.01
A_23_P110585	4.89
A_24_P673968	7.92
A_24_P815062	2.59
A_24_P54863	6.72
A_23_P33303	9.40
A_23_P60565	6.25
A_23_P31536	8.93
A_24_P49220	1.71
A_23_P21057	9.83
A_24_P329487	3.77
A_23_P158083	5.65
A_23_P20927	4.15
A_32_P61308	6.05
A_32_P155035	3.62
A_32_P195647	3.16
A_32_P195501	2.23
A_23_P218346	4.31
A_24_P229588	3.71
A_32_P38453	2.29
A_24_P402115	7.25
A_32_P29618	2.54
A_23_P338912	2.67
A_23_P83558	2.98
A_24_P911519	2.49
A_24_P6933	3.93
A_23_P93464	6.58
A_32_P94667	4.99
A_23_P41818	8.71
A_24_P922631	4.08
A_23_P128543	10.41
A_24_P671842	7.44
A_23_P43350	2.97
A_23_P146209	7.15
A_32_P119869	2.83
A_23_P3159	3.98
A_23_P212756	3.01
A_23_P54809	6.09
A_32_P91019	1.95
A_24_P93728	3.64
A_24_P300021	2.54
A_23_P117515	6.50
A_23_P22526	3.11
A_23_P75769	8.01
A_32_P41065	8.99
A_23_P336218	6.51
A_23_P105873	3.27
A_32_P84526	3.83
A_23_P61255	1.73
A_23_P329335	5.47
A_23_P586	11.05
A_24_P212624	2.76
A_23_P39561	9.10
A_24_P75979	5.33
A_23_P87791	4.24
A_24_P196469	4.09
A_24_P79855	7.62
A_23_P140469	3.50
A_23_P11800	4.86
A_24_P410809	5.94
A_23_P52207	7.17
A_23_P254179	10.12
A_32_P864116	2.13
A_23_P218405	9.72
A_23_P157404	4.47
A_24_P76489	2.32
A_23_P252371	6.02
A_32_P172188	4.93
A_32_P58407	8.25
A_24_P257336	4.39
A_32_P85732	2.55
A_23_P162861	2.91
A_24_P377328	8.50
A_23_P161292	2.71
A_23_P98167	10.78
A_23_P387000	3.59
A_23_P48988	2.57
A_24_P945298	1.56
A_24_P481534	4.77
A_23_P29555	12.18
A_23_P417363	4.47
A_24_P405981	4.74
A_32_P111751	4.96
A_24_P316363	5.81
A_24_P512054	2.78
A_23_P300797	3.69
A_23_P43238	9.33
A_24_P140171	8.32
A_23_P168656	6.19
A_24_P305747	3.39
A_23_P26570	5.08
A_23_P13486	2.31
A_23_P388851	5.38
A_24_P359091	2.90
A_23_P71389	6.72
A_32_P212411	2.61
A_23_P155835	7.34
A_24_P787897	7.32
A_24_P247738	1.84
A_32_P30656	2.32
A_23_P200579	2.58
A_32_P229965	4.08
A_32_P181020	7.66
A_24_P397928	10.42
A_32_P109029	2.81
A_23_P102462	5.42
A_32_P3048	3.23
A_23_P152330	2.87
A_23_P79496	2.21
A_32_P156171	11.35
A_32_P83326	9.15
A_32_P60343	7.93
A_23_P16451	13.60
A_23_P133606	3.90
A_24_P272653	2.67
A_23_P309930	2.67
A_23_P30050	5.92
A_24_P135769	4.14
A_23_P90032	2.61
A_24_P59236	2.80
A_24_P162226	2.75
A_23_P377882	6.15
A_24_P419132	2.10
A_23_P383377	6.53
A_32_P145490	2.20
A_24_P408603	5.26
A_24_P1255	4.76
A_24_P269527	3.03
A_24_P281374	5.39
A_24_P400573	5.76
A_23_P304509	2.62
A_32_P99804	5.97
A_23_P374812	5.06
A_24_P930148	2.37
A_23_P29723	3.19
A_32_P377032	2.69
A_24_P303815	7.71
A_23_P112173	2.83
A_32_P135450	8.25
A_23_P52410	2.02
A_23_P317760	2.42
A_23_P259561	12.21
A_23_P42331	9.23
A_24_P159515	6.46
A_32_P128368	2.61
A_24_P459299	3.06
A_23_P38732	3.24
A_23_P317839	2.52
A_24_P942870	1.99
A_24_P383660	4.54
A_32_P54628	2.80
A_24_P46171	7.54
A_23_P71926	2.92
A_23_P16116	8.94
A_32_P193771	4.41
A_23_P118493	2.40
A_24_P383704	5.11
A_24_P917833	10.42
A_24_P914155	2.93
A_24_P112941	2.00
A_23_P208698	9.24
A_32_P886589	2.63
A_23_P41304	4.51
A_23_P33773	1.51
A_23_P122896	5.35
A_23_P5103	2.85
A_24_P548624	3.24
A_32_P124978	4.31
A_24_P367079	3.45
A_24_P299507	3.82
A_32_P200787	6.54
A_32_P230547	5.82
A_32_P177843	4.79
A_23_P211957	12.61
A_24_P920388	9.85
A_24_P297302	3.01
A_32_P190036	7.08
A_24_P935163	2.61
A_24_P743806	4.51
A_32_P43855	8.36
A_23_P207811	6.29
A_23_P201778	9.45
A_24_P751247	5.47
A_24_P920148	1.89
A_23_P65000	4.90
A_23_P200109	4.97
A_24_P315754	6.70
A_23_P501080	6.22
A_23_P201996	11.29
A_23_P500542	1.90
A_24_P137563	7.36
A_23_P214121	9.82
A_23_P100576	12.06
A_24_P545587	2.36
A_23_P125844	2.70
A_23_P202100	7.36
A_23_P167812	1.45
A_23_P159305	10.07
A_24_P257579	2.77
A_24_P580429	2.14
A_23_P395464	3.02
A_32_P149158	4.86
A_23_P89981	5.68
A_24_P66270	7.66
A_24_P376339	5.57
A_24_P764595	9.66
A_23_P12554	3.34
A_23_P414352	2.27
A_23_P133691	7.50
A_32_P185393	2.48
A_23_P61447	7.74
A_32_P480177	2.91
A_24_P502724	2.06
A_24_P247872	2.68
A_23_P150483	4.03
A_32_P10383	3.87
A_24_P349676	5.70
A_23_P370625	9.17
A_23_P214603	11.75
A_24_P588235	4.66
A_23_P412214	6.09
A_23_P429555	2.66
A_23_P258433	1.58
A_23_P214658	7.14
A_32_P45727	3.16
A_23_P170857	8.96
A_23_P253841	12.41
A_23_P103690	8.13
A_24_P463929	2.08
A_24_P935622	6.71
A_23_P310372	1.81
A_24_P773141	2.37
A_24_P942328	7.75
A_23_P113952	2.02
A_23_P107336	9.79
A_32_P429687	2.42
A_32_P79492	2.54
A_23_P358597	2.85
A_24_P247699	9.13
A_24_P533001	3.23
A_24_P173294	14.66
A_23_P81158	3.31
A_24_P115990	2.40
A_32_P129018	1.48
A_23_P130141	3.24
A_24_P269779	2.50
A_24_P18190	9.04
A_23_P49351	6.13
A_24_P323298	7.02
A_24_P466590	6.64
A_24_P162483	2.41
A_32_P107667	8.22
A_32_P201020	6.30
A_32_P36778	4.25
A_23_P45726	10.01
A_24_P125469	2.44
A_23_P31240	3.82
A_24_P944113	2.94
A_23_P114008	1.25
A_23_P367628	9.37
A_32_P21222	6.00
A_24_P53600	6.36
A_32_P17743	4.41
A_23_P6362	8.43
A_32_P70626	5.37
A_24_P505981	8.17
A_32_P464135	2.13
A_24_P384674	1.73
A_32_P105171	3.36
A_23_P24215	4.47
A_32_P42354	2.43
A_32_P71032	2.23
A_23_P40272	6.51
A_24_P206328	2.39
A_23_P207174	2.98
A_24_P314931	2.51
A_32_P141849	2.59
A_23_P155276	10.17
A_23_P306326	3.07
A_23_P119789	7.10
A_32_P233379	2.26
A_23_P137073	6.30
A_23_P360777	7.52
A_24_P169258	6.21
A_24_P565390	5.78
A_24_P393502	2.60
A_23_P432626	5.50
A_23_P141894	3.38
A_23_P417853	2.25
A_23_P95302	8.03
A_24_P148706	3.55
A_23_P71170	2.60
A_23_P208450	7.62
A_23_P149111	2.51
A_23_P206526	5.91
A_23_P214907	4.20
A_23_P214935	9.12
A_24_P125871	3.88
A_24_P511187	2.76
A_24_P205195	1.59
A_24_P901856	2.14
A_24_P655735	4.73
A_32_P91743	6.72
